id,Cor,Infravermelho,Temperatura,Vibracao,Estado
198,0,0,-101.3692,0,Funcional
199,1,1,-69.9481,0,Funcional
200,-2,1,99.2491,0,Disfuncional
201,2,1,14.0714,1,Funcional
202,-2,0,76.1996,0,Disfuncional
203,-2,0,91.5834,1,Disfuncional
204,3,0,129.0258,1,Problema encontrado
205,3,0,90.1892,1,Problema encontrado
206,3,1,70.0967,0,Funcional
207,-2,0,53.9046,1,Disfuncional
208,3,1,110.9239,0,Problema encontrado
209,-2,1,-72.7004,0,Disfuncional
210,0,0,3.8448,0,Funcional
211,2,0,145.5985,1,Problema encontrado
212,1,1,141.8115,1,Problema encontrado
213,1,1,-52.9935,0,Funcional
214,3,1,142.9529,0,Problema encontrado
215,0,0,49.7785,0,Funcional
216,1,0,102.0372,0,Problema encontrado
217,-2,0,-48.1156,0,Disfuncional
218,-2,0,60.4373,1,Disfuncional
219,0,1,-80.5752,1,Funcional
220,0,0,-92.1014,1,Funcional
221,0,1,-26.521,0,Funcional
222,1,0,-24.2406,0,Problema encontrado
223,2,0,-44.7713,1,Problema encontrado
224,2,0,-74.0036,0,Problema encontrado
225,1,1,-71.1176,0,Funcional
226,3,0,-11.3817,0,Problema encontrado
227,1,0,-8.8828,0,Problema encontrado
228,0,0,85.607,1,Funcional
229,0,0,121.0913,0,Problema encontrado
230,-2,0,98.2783,1,Disfuncional
231,3,0,-94.9106,0,Problema encontrado
232,3,0,-120.3682,0,Problema encontrado
233,1,1,-106.3181,0,Funcional
234,1,1,74.6705,0,Funcional
235,-2,1,34.3178,0,Disfuncional
236,1,0,-67.4284,1,Problema encontrado
237,-2,0,129.6765,0,Disfuncional
238,1,0,100.9105,1,Problema encontrado
239,2,0,73.5163,1,Problema encontrado
240,1,1,38.9854,1,Funcional
241,1,1,95.0772,0,Problema encontrado
242,-2,0,144.0359,0,Disfuncional
243,1,0,74.3373,1,Problema encontrado
244,1,1,-66.4503,0,Funcional
245,0,0,-92.1704,0,Funcional
246,2,0,112.8057,1,Problema encontrado
247,2,1,7.6064,0,Funcional
248,1,1,121.4768,1,Problema encontrado
249,3,0,0.8684,0,Problema encontrado
250,0,1,-5.2412,0,Funcional
251,0,1,19.7107,0,Funcional
252,-2,1,110.0936,1,Disfuncional
253,0,1,103.6801,1,Problema encontrado
254,3,1,-23.7614,1,Funcional
255,-2,1,-8.2378,0,Disfuncional
256,1,0,-46.555,0,Problema encontrado
257,1,1,77.9451,1,Funcional
258,3,0,76.4361,0,Problema encontrado
259,1,0,68.5861,1,Problema encontrado
260,3,0,97.9313,1,Problema encontrado
261,0,0,-41.087,1,Funcional
262,0,0,-65.0229,0,Funcional
263,1,0,-98.5374,1,Problema encontrado
264,-2,0,51.9297,0,Disfuncional
265,-2,0,117.5264,0,Disfuncional
266,3,0,101.2031,0,Problema encontrado
267,2,0,80.2844,0,Problema encontrado
268,1,0,92.2377,1,Problema encontrado
269,2,1,79.2151,1,Funcional
270,0,1,-22.4749,1,Funcional
271,2,0,72.3564,0,Problema encontrado
272,2,1,70.0028,1,Funcional
273,-2,0,26.1106,1,Disfuncional
274,1,1,89.9444,1,Funcional
275,0,0,11.6984,0,Funcional
276,0,0,110.8514,1,Problema encontrado
277,3,1,122.2492,0,Problema encontrado
278,-2,1,19.8677,1,Disfuncional
279,3,0,44.5553,1,Problema encontrado
280,-2,0,-7.2571,1,Disfuncional
281,-2,1,43.8607,0,Disfuncional
282,2,0,81.7891,0,Problema encontrado
283,0,0,14.7684,1,Funcional
284,2,0,-64.2568,1,Problema encontrado
285,0,1,46.4584,1,Funcional
286,2,1,-8.8644,1,Funcional
287,2,0,-58.5522,0,Problema encontrado
288,-2,1,-53.3502,0,Disfuncional
289,1,1,-48.8626,1,Funcional
290,3,1,32.0495,1,Funcional
291,3,1,80.1422,0,Funcional
292,3,1,146.2801,0,Problema encontrado
293,2,0,-15.149,1,Problema encontrado
294,0,0,15.499,0,Funcional
295,2,1,-52.2994,0,Funcional
296,1,1,-1.8982,1,Funcional
297,3,0,-95.1409,0,Problema encontrado
298,0,1,-118.5068,1,Funcional
299,0,1,-105.7429,0,Funcional
300,3,0,70.1001,0,Problema encontrado
301,2,0,93.7319,0,Problema encontrado
302,2,0,-13.4844,0,Problema encontrado
303,0,0,44.7955,1,Funcional
304,2,0,-27.4312,1,Problema encontrado
305,0,0,-74.0907,0,Funcional
306,1,0,75.401,1,Problema encontrado
307,2,0,6.7173,1,Problema encontrado
308,1,0,19.3138,1,Problema encontrado
309,1,0,7.7945,1,Problema encontrado
310,0,0,-79.2488,1,Funcional
311,2,0,1.0106,0,Problema encontrado
312,2,1,-52.6317,1,Funcional
313,2,0,-7.1133,0,Problema encontrado
314,2,0,-120.9312,0,Problema encontrado
315,0,0,83.6528,0,Funcional
316,2,0,-2.088,1,Problema encontrado
317,1,1,60.0132,1,Funcional
318,3,1,36.1622,1,Funcional
319,-2,0,105.8878,0,Disfuncional
320,0,0,12.9561,0,Funcional
321,2,1,141.7741,1,Problema encontrado
322,1,0,84.2428,1,Problema encontrado
323,1,1,100.1357,0,Problema encontrado
324,1,1,-101.5417,1,Funcional
325,3,0,-80.9835,0,Problema encontrado
326,-2,1,-49.2321,1,Disfuncional
327,0,0,43.4715,1,Funcional
328,-2,1,-123.8041,1,Disfuncional
329,0,1,137.8628,0,Problema encontrado
330,0,0,-114.0137,0,Funcional
331,3,1,-122.1646,0,Funcional
332,1,1,88.7289,1,Funcional
333,1,1,-111.0013,1,Funcional
334,3,0,-115.5735,0,Problema encontrado
335,1,1,-4.4302,0,Funcional
336,2,1,18.0138,1,Funcional
337,2,0,-100.3603,1,Problema encontrado
338,-2,1,135.2384,1,Disfuncional
339,1,1,88.916,1,Funcional
340,1,1,32.6561,1,Funcional
341,-2,1,-123.1946,1,Disfuncional
342,2,1,0.8348,0,Funcional
343,2,1,133.8243,1,Problema encontrado
344,-2,0,108.6004,0,Disfuncional
345,1,0,-89.9706,0,Problema encontrado
346,-2,1,-75.6753,1,Disfuncional
347,1,0,34.9448,0,Problema encontrado
348,0,0,79.7367,1,Funcional
349,2,0,128.3678,1,Problema encontrado
350,3,0,-6.2603,0,Problema encontrado
351,-2,0,-103.2121,1,Disfuncional
352,0,0,7.615,1,Funcional
353,0,0,-59.2817,0,Funcional
354,1,1,-37.8304,1,Funcional
355,1,1,-12.9412,1,Funcional
356,1,0,54.6829,1,Problema encontrado
357,1,0,104.0613,1,Problema encontrado
358,2,1,-77.3616,1,Funcional
359,-2,1,128.6633,0,Disfuncional
360,0,0,-49.2561,1,Funcional
361,2,1,129.3393,0,Problema encontrado
362,3,0,48.1297,0,Problema encontrado
363,3,0,141.6236,0,Problema encontrado
364,-2,0,-42.3868,1,Disfuncional
365,1,0,91.5763,0,Problema encontrado
366,1,1,56.8322,0,Funcional
367,2,1,10.6281,1,Funcional
368,3,1,136.4684,0,Problema encontrado
369,0,1,75.8611,1,Funcional
370,1,1,25.9624,1,Funcional
371,1,0,137.6593,0,Problema encontrado
372,-2,0,-114.2284,1,Disfuncional
373,2,0,108.6203,1,Problema encontrado
374,3,1,56.0829,0,Funcional
375,3,0,64.3355,1,Problema encontrado
376,3,0,4.8555,0,Problema encontrado
377,0,0,115.4451,0,Problema encontrado
378,3,0,-37.0381,1,Problema encontrado
379,-2,0,55.5235,0,Disfuncional
380,-2,0,-83.8345,0,Disfuncional
381,0,1,-39.0396,0,Funcional
382,2,1,-8.0957,0,Funcional
383,0,1,-70.3053,1,Funcional
384,2,0,54.3897,0,Problema encontrado
385,2,1,129.7979,1,Problema encontrado
386,1,1,-11.5311,0,Funcional
387,1,1,15.6698,0,Funcional
388,1,1,117.4683,0,Problema encontrado
389,3,1,-24.7855,1,Funcional
390,1,0,4.8368,1,Problema encontrado
391,-2,1,59.476,1,Disfuncional
392,1,1,2.3269,1,Funcional
393,1,0,-62.3051,0,Problema encontrado
394,1,0,-27.7226,1,Problema encontrado
395,2,0,104.2431,0,Problema encontrado
396,1,1,50.0179,0,Funcional
397,2,0,-89.5267,0,Problema encontrado
398,0,0,25.37,1,Funcional
399,3,1,84.8906,1,Funcional
400,2,0,-10.4021,1,Problema encontrado
401,-2,0,0.8042,0,Disfuncional
402,1,1,-11.2521,0,Funcional
403,-2,1,136.107,0,Disfuncional
404,3,0,96.9093,1,Problema encontrado
405,-2,1,105.5994,1,Disfuncional
406,3,1,90.0822,0,Problema encontrado
407,-2,0,-16.8328,0,Disfuncional
408,2,1,120.8007,0,Problema encontrado
409,-2,1,-79.0979,1,Disfuncional
410,1,1,28.8851,0,Funcional
411,1,1,148.0447,0,Problema encontrado
412,0,1,101.7485,1,Problema encontrado
413,1,1,64.2797,1,Funcional
414,3,1,6.1913,1,Funcional
415,3,0,39.3025,1,Problema encontrado
416,-2,1,-122.7809,1,Disfuncional
417,-2,0,-108.032,0,Disfuncional
418,2,1,-97.1348,1,Funcional
419,2,0,-4.2087,1,Problema encontrado
420,-2,0,149.0669,1,Disfuncional
421,2,1,49.0406,1,Funcional
422,-2,0,89.8517,0,Disfuncional
423,1,1,41.2265,1,Funcional
424,2,1,52.5062,1,Funcional
425,3,0,0.0805,1,Problema encontrado
426,2,1,102.0513,1,Problema encontrado
427,2,1,-79.2212,0,Funcional
428,0,0,33.4758,0,Funcional
429,-2,0,138.4142,1,Disfuncional
430,2,0,102.5715,1,Problema encontrado
431,0,0,26.6391,0,Funcional
432,3,0,-26.1123,0,Problema encontrado
433,1,1,-53.3071,0,Funcional
434,-2,1,102.1002,1,Disfuncional
435,2,0,140.9272,1,Problema encontrado
436,0,1,89.4451,0,Funcional
437,2,0,-85.7763,0,Problema encontrado
438,0,0,114.6098,0,Problema encontrado
439,3,1,-23.0933,1,Funcional
440,2,1,-124.2424,1,Funcional
441,0,0,76.8553,1,Funcional
442,1,0,-79.931,1,Problema encontrado
443,-2,1,-86.0209,0,Disfuncional
444,2,0,-67.1695,1,Problema encontrado
445,3,0,-98.3162,1,Problema encontrado
446,0,0,131.6979,1,Problema encontrado
447,-2,0,14.8594,1,Disfuncional
448,0,0,-66.5717,0,Funcional
449,1,1,1.6398,1,Funcional
450,-2,0,118.9025,1,Disfuncional
451,2,1,21.5609,0,Funcional
452,0,0,-14.7831,0,Funcional
453,-2,0,4.0575,0,Disfuncional
454,-2,0,17.0136,0,Disfuncional
455,2,0,36.6973,0,Problema encontrado
456,1,0,-25.542,1,Problema encontrado
457,3,1,-122.6846,0,Funcional
458,0,0,-62.7589,0,Funcional
459,-2,1,28.7368,1,Disfuncional
460,-2,0,73.6503,0,Disfuncional
461,1,0,127.7659,1,Problema encontrado
462,0,1,123.877,1,Problema encontrado
463,3,1,77.7888,0,Funcional
464,1,1,-61.1588,0,Funcional
465,3,1,72.1173,0,Funcional
466,1,0,-16.0994,0,Problema encontrado
467,0,1,-1.6947,1,Funcional
468,3,0,138.3697,1,Problema encontrado
469,3,0,-53.1693,1,Problema encontrado
470,3,1,-19.1859,0,Funcional
471,3,0,-18.1797,1,Problema encontrado
472,-2,1,-121.8435,0,Disfuncional
473,0,1,-94.1303,0,Funcional
474,-2,0,-31.3632,1,Disfuncional
475,1,1,29.0508,1,Funcional
476,-2,0,26.419,1,Disfuncional
477,-2,1,134.6792,1,Disfuncional
478,1,0,113.3623,1,Problema encontrado
479,1,1,-4.869,1,Funcional
480,-2,1,-83.7382,0,Disfuncional
481,1,0,116.0415,0,Problema encontrado
482,0,1,-32.4996,0,Funcional
483,0,1,115.4812,1,Problema encontrado
484,-2,1,-72.7032,0,Disfuncional
485,2,1,-114.7854,1,Funcional
486,0,0,-105.3151,1,Funcional
487,0,0,37.663,1,Funcional
488,3,1,76.461,1,Funcional
489,2,0,23.0502,1,Problema encontrado
490,0,0,10.5209,0,Funcional
491,3,0,-56.0238,1,Problema encontrado
492,-2,0,-70.1245,0,Disfuncional
493,-2,0,13.5141,0,Disfuncional
494,3,1,-83.3336,0,Funcional
495,-2,1,22.5857,0,Disfuncional
496,1,1,77.5622,1,Funcional
497,-2,0,-110.2406,0,Disfuncional
498,3,0,88.799,0,Problema encontrado
499,0,0,34.7244,1,Funcional
500,0,1,-84.5063,1,Funcional
501,0,1,135.9576,0,Problema encontrado
502,1,0,77.1502,1,Problema encontrado
503,-2,0,147.3032,1,Disfuncional
504,-2,1,-26.704,1,Disfuncional
505,0,0,-95.9484,0,Funcional
506,3,0,-105.1493,1,Problema encontrado
507,1,0,-44.9002,1,Problema encontrado
508,2,0,103.2986,0,Problema encontrado
509,-2,0,33.4585,0,Disfuncional
510,1,1,40.0976,1,Funcional
511,3,0,-76.7862,1,Problema encontrado
512,-2,0,89.082,1,Disfuncional
513,1,0,59.0308,1,Problema encontrado
514,3,1,-97.7504,1,Funcional
515,-2,1,60.5171,1,Disfuncional
516,-2,0,41.7126,1,Disfuncional
517,-2,0,50.0902,0,Disfuncional
518,1,0,130.6981,0,Problema encontrado
519,1,1,-104.874,0,Funcional
520,2,0,-4.9323,1,Problema encontrado
521,2,0,12.7167,1,Problema encontrado
522,-2,1,-3.1316,0,Disfuncional
523,2,1,82.6415,0,Funcional
524,2,1,76.6593,0,Funcional
525,2,1,-115.318,1,Funcional
526,-2,0,24.6169,1,Disfuncional
527,3,1,66.873,0,Funcional
528,-2,0,72.1372,1,Disfuncional
529,-2,0,51.7429,1,Disfuncional
530,-2,1,62.1181,1,Disfuncional
531,1,0,83.3228,0,Problema encontrado
532,2,1,33.499,0,Funcional
533,0,0,104.5485,1,Problema encontrado
534,3,1,63.9531,0,Funcional
535,1,1,139.133,0,Problema encontrado
536,2,1,82.7499,1,Funcional
537,0,0,-49.5335,0,Funcional
538,2,0,-50.8334,0,Problema encontrado
539,1,1,-49.2236,1,Funcional
540,0,0,5.786,0,Funcional
541,2,0,-44.065,0,Problema encontrado
542,1,0,-16.5432,0,Problema encontrado
543,2,0,53.839,0,Problema encontrado
544,3,0,142.1552,0,Problema encontrado
545,3,1,31.9587,0,Funcional
546,2,0,112.5218,1,Problema encontrado
547,0,0,-12.4901,0,Funcional
548,0,0,35.3435,0,Funcional
549,0,1,89.34,0,Funcional
550,-2,1,46.3204,1,Disfuncional
551,2,1,144.9083,1,Problema encontrado
552,2,1,104.015,1,Problema encontrado
553,1,0,-17.9364,1,Problema encontrado
554,3,0,-65.2043,1,Problema encontrado
555,-2,1,35.1522,1,Disfuncional
556,-2,0,69.6703,0,Disfuncional
557,1,1,103.1076,1,Problema encontrado
558,1,1,-59.5547,1,Funcional
559,2,0,0.695,0,Problema encontrado
560,-2,1,-31.2864,1,Disfuncional
561,3,0,-114.7249,1,Problema encontrado
562,3,1,20.7877,1,Funcional
563,3,0,-18.5036,1,Problema encontrado
564,1,1,91.569,1,Problema encontrado
565,2,0,-79.8844,0,Problema encontrado
566,-2,0,147.2924,0,Disfuncional
567,-2,0,-0.6998,0,Disfuncional
568,1,0,20.1829,0,Problema encontrado
569,2,1,-122.4855,0,Funcional
570,1,1,14.1393,1,Funcional
571,3,0,-25.1834,1,Problema encontrado
572,2,1,-3.4206,1,Funcional
573,0,0,-76.7402,1,Funcional
574,0,1,35.0491,0,Funcional
575,1,0,-46.9139,0,Problema encontrado
576,2,1,-78.9982,0,Funcional
577,2,0,-23.4139,1,Problema encontrado
578,1,1,-52.8852,1,Funcional
579,3,0,95.2039,1,Problema encontrado
580,-2,1,-76.7828,1,Disfuncional
581,-2,0,-105.2157,0,Disfuncional
582,1,0,46.16,0,Problema encontrado
583,3,0,38.3347,1,Problema encontrado
584,3,0,88.8295,0,Problema encontrado
585,3,1,-45.5834,1,Funcional
586,2,0,122.2555,1,Problema encontrado
587,2,0,146.1154,0,Problema encontrado
588,-2,0,144.9045,1,Disfuncional
589,1,0,9.6381,0,Problema encontrado
590,0,0,103.8049,1,Problema encontrado
591,-2,1,79.9884,0,Disfuncional
592,2,0,-79.5284,0,Problema encontrado
593,1,0,-121.6099,1,Problema encontrado
594,3,0,63.9566,1,Problema encontrado
595,0,1,131.6448,1,Problema encontrado
596,0,1,-23.7199,0,Funcional
597,0,1,43.4866,0,Funcional
598,-2,0,6.92,0,Disfuncional
599,3,0,-24.3983,1,Problema encontrado
600,0,1,131.3691,0,Problema encontrado
601,3,0,-51.1019,0,Problema encontrado
602,0,1,-103.8171,1,Funcional
603,2,0,93.4802,0,Problema encontrado
604,3,1,59.4013,1,Funcional
605,2,0,99.4257,1,Problema encontrado
606,-2,0,9.282,1,Disfuncional
607,0,0,74.9869,1,Funcional
608,0,1,70.6278,0,Funcional
609,-2,1,45.9203,0,Disfuncional
610,3,1,136.9349,1,Problema encontrado
611,2,0,-109.6897,0,Problema encontrado
612,1,1,-66.701,1,Funcional
613,1,0,-107.4385,1,Problema encontrado
614,0,0,-56.8129,0,Funcional
615,1,1,-96.0692,1,Funcional
616,2,0,66.1681,1,Problema encontrado
617,2,0,26.9537,0,Problema encontrado
618,3,0,-11.6925,1,Problema encontrado
619,0,0,-88.7331,1,Funcional
620,0,1,71.6629,1,Funcional
621,2,0,-59.4941,0,Problema encontrado
622,3,1,26.3418,1,Funcional
623,-2,1,-28.7449,1,Disfuncional
624,1,0,115.8017,0,Problema encontrado
625,1,1,-23.3421,0,Funcional
626,-2,1,-113.4691,0,Disfuncional
627,1,0,40.4206,0,Problema encontrado
628,1,0,37.125,0,Problema encontrado
629,-2,0,41.5649,0,Disfuncional
630,2,1,16.3334,0,Funcional
631,3,1,71.917,1,Funcional
632,-2,1,-120.1717,1,Disfuncional
633,1,1,85.8015,0,Funcional
634,3,1,99.0508,0,Problema encontrado
635,-2,1,-73.819,1,Disfuncional
636,1,0,-27.0508,1,Problema encontrado
637,0,0,-60.0842,0,Funcional
638,0,0,-73.7856,0,Funcional
639,2,0,-122.5754,0,Problema encontrado
640,3,1,149.682,0,Problema encontrado
641,-2,1,-73.0322,0,Disfuncional
642,2,0,-114.9995,1,Problema encontrado
643,-2,1,35.5795,0,Disfuncional
644,-2,0,20.0524,0,Disfuncional
645,1,1,73.2267,1,Funcional
646,1,1,-66.2275,0,Funcional
647,1,1,146.4416,0,Problema encontrado
648,2,1,-59.5942,0,Funcional
649,2,0,140.8623,1,Problema encontrado
650,0,1,13.57,0,Funcional
651,0,1,142.3776,0,Problema encontrado
652,3,1,34.8171,0,Funcional
653,-2,0,30.9279,1,Disfuncional
654,2,0,5.7249,1,Problema encontrado
655,3,1,-0.2364,1,Funcional
656,0,0,69.2888,1,Funcional
657,-2,1,19.0929,1,Disfuncional
658,-2,1,-104.2086,1,Disfuncional
659,1,0,-60.4963,1,Problema encontrado
660,3,1,-75.7432,1,Funcional
661,3,1,105.0293,1,Problema encontrado
662,3,1,48.9232,0,Funcional
663,1,0,100.904,1,Problema encontrado
664,2,0,-126.4251,0,Disfuncional
665,0,1,133.5261,1,Problema encontrado
666,0,1,49.8903,0,Funcional
667,-2,1,-22.6167,1,Disfuncional
668,-2,1,-90.8192,0,Disfuncional
669,3,1,-32.9943,0,Funcional
670,1,1,-97.157,1,Funcional
671,1,0,45.9579,0,Problema encontrado
672,2,0,-97.526,0,Problema encontrado
673,3,1,111.3344,1,Problema encontrado
674,3,1,10.6445,0,Funcional
675,2,0,140.6198,1,Problema encontrado
676,2,1,40.254,0,Funcional
677,1,0,21.9737,0,Problema encontrado
678,-2,0,-12.0007,0,Disfuncional
679,0,0,35.4843,1,Funcional
680,-2,0,-21.5695,1,Disfuncional
681,-2,1,-26.8002,1,Disfuncional
682,0,1,105.8915,1,Problema encontrado
683,2,0,-121.0318,1,Problema encontrado
684,2,0,25.0685,1,Problema encontrado
685,2,0,-72.2738,0,Problema encontrado
686,1,1,57.1516,1,Funcional
687,0,0,34.6864,0,Funcional
688,1,0,65.4505,0,Problema encontrado
689,2,1,76.6512,0,Funcional
